league,season,team,players_used,Age,Poss,Goals,Assist,G+A,NPG,PK Gls,PK Att,Yellow Cards,Red Cards,xG,npxG,xAG,npxG+xAG,Prg Carries,Prg Passes,Shots,Shots on Target,SoT%,Goals per Shots,Goals per SoT,Avg Shot Dist,FK Shots,npxG/Shot,G-xG,G-npxG,Passes Completed,Passes Attempted,Pass Completion%,Avg Pass Distance,Avg Prg Pass Distance,Short Pass Cmp,Shot Pass Att,Short Pass Cmp%,Medium Pass Cmp,Medium Pass Att,Medium Pass Cmp%,Long Pass Cmp,Long Pass Att,Long Pass Cmp%,xA,A-xAG,Key Passes,Final Third Pass,Pass into Pen Area,Cross into Pen Area,Open Play Pass,Dead Ball Pass,FK Pass,Through Balls,Switches,Throw-Ins,Corner Kicks,Inswing Corner,Outswing Corner,Straight Corner,Blocked Passes,SCA,SCA Open Play,SCA Dead Ball,SCA Take-Ons,Shots SCA,Fouled SCA,Defensive SCA,GCA,GCA Open Play,GCA Dead Ball,GCA Take-Ons,Shots GCA,Fouled GCA,Defensive GCA,Tackles,Tackles Won,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Dribble Stops,Total Challenges,Challenges Won%,Challenges Lost,Blocks,Shot Blocks,Interceptions,Tackle+Interceptions,Clearances,Errors,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches in Box,Open Play Touches,Take-Ons Attempted,Take-Ons Successfull,Take-Ons Success%,Take-Ons Tackled,Take-Ons Tackled%,Carries,Avg Carry Dist,Avg Prg Carry Dist,Carries into Final Third,Carries into Pen Area,Miscontrols,Dispossessed,Passes Received,Progressive Receives,Min per Sub,Pts pMatch,Goals Allowed,Goal Difference,xG Allowed,xG Difference,Fouls,Fouled,Offside,Crosses,Pen Conceded,Own Goals,Recoveries,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Shots on Target Allowed,Saves,Save%,W,D,L,Clean Sheet,Clean Sheet%,Penalty Saves,Penalty Save%,FK Goals,Corner Goals,Pass Attempts(GK),Throws,Passes Launch%,Passes AvgLen,Goal Kicks Attempted,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Faced,Crosses Stopped,Cross Stop%,OPA,OPA Avg Dist
ENG-Premier League,2425,Arsenal,25,25.8,56.9,67,55,122,65,2,2,70,6,59.9,58.4,45.3,103.6,852,1826,544,178,32.7,0.12,0.37,15.1,10,0.11,7.1,6.6,17066,20241,84.3,16.337044415797493,47.67524644030668,8591,9363,91.8,7129,7999,89.1,1031,2022,51,45.7,9.7,428,1397,437,75,18608,1553,432,80,74,598,251,211,3,2,278,969,726,82,52,64,34,11,119,86,11,6,11,4,1,598,348,220,249,129,260,515,50.5,255,328,106,225,823,680,33,24056,1844,6064,10362,7808,1282,24054,726,320,44.1,316,43.5,14234,5.307292398482507,47.237089201877936,540,286,483,382,16894,1801,18,1.95,34,35,34.4,25.5,401,405,80,766,3,0,1436,471,465,50.3,120,86,74.2,20,14,4,13,34.2,0,0,2,8,1210,178,31.2,29.9,200,50,38.6,402,53,13.2,66,17.2
ENG-Premier League,2425,Aston Villa,28,27,50.5,56,45,101,53,3,6,76,4,56.1,51.3,41.7,93,720,1344,478,159,33.3,0.11,0.33,16.3,12,0.11,-0.1,1.7,14701,17797,82.6,17.185021427113803,65.61160714285714,6778,7510,90.3,6555,7386,88.7,1088,2065,52.7,36.9,3.3,358,1137,319,56,16044,1698,583,95,58,497,230,148,24,1,346,849,602,85,51,58,39,14,102,80,7,3,6,4,2,637,372,293,249,95,310,546,56.8,236,329,107,240,877,788,43,21699,2646,7301,9257,5362,951,21693,726,327,45,299,41.2,12334,5.5866709907572565,50.33611111111111,448,212,508,386,14423,1331,23,1.74,51,7,50.1,5.9,406,499,55,604,3,0,1418,378,423,47.2,156,104,68.6,19,9,10,9,23.7,1,33.3,1,2,1182,133,29.5,35.9,299,41.8,35.1,538,59,11,35,8.6
ENG-Premier League,2425,Bournemouth,29,25.1,48.5,57,41,98,51,6,7,97,3,64,58.5,43.8,102.3,754,1489,574,192,33.4,0.09,0.27,16.7,10,0.1,-7,-7.5,12977,16900,76.8,18.028434923325886,58.27199462726662,5648,6514,86.7,5659,6670,84.8,1365,2819,48.4,36.5,-2.8,437,1242,339,106,15136,1694,430,59,78,686,228,166,18,4,314,1012,767,68,44,70,42,21,93,62,6,5,8,10,2,691,399,290,299,102,301,627,48,326,459,136,351,1042,1013,22,21618,2217,6444,9314,6128,1005,21611,672,294,43.8,300,44.6,11733,5.8834057785732545,48.685676392572944,534,228,597,350,12855,1474,18,1.47,46,12,48.5,15.5,525,400,70,832,4,0,1821,573,606,48.6,172,126,75.6,15,11,12,9,23.7,0,0,1,5,960,158,35.2,36.3,266,47.7,39.4,460,25,5.4,62,12.9
ENG-Premier League,2425,Brentford,28,25.8,47.9,65,44,109,60,5,6,62,1,59,54.4,42.4,96.8,598,1356,434,173,39.9,0.14,0.35,14.9,10,0.13,6,5.6,13358,17100,78.1,18.381419374157808,68.77802359882006,5849,6739,86.8,5826,6875,84.7,1449,2741,52.9,38.1,1.6,330,1104,325,91,15453,1584,386,69,71,602,174,139,2,0,288,780,569,74,40,51,35,11,113,78,11,5,9,9,1,633,380,289,223,121,314,596,52.7,282,480,199,285,918,1040,28,21491,3282,8328,8055,5310,987,21485,627,265,42.3,293,46.7,11412,5.427444794952681,52.94481605351171,380,213,549,300,13153,1339,15,1.47,57,9,55.4,3.6,320,339,63,674,1,3,1644,624,567,52.4,207,153,72.9,16,8,14,8,21.1,0,0,0,2,1453,129,36.3,34.9,327,51.7,41.3,597,48,8,34,4.7
ENG-Premier League,2425,Brighton,32,24.8,52.3,64,41,105,57,7,7,78,3,58.7,53.3,40.4,93.7,816,1539,526,183,34.8,0.11,0.31,17.2,25,0.1,5.3,3.7,15820,19188,82.4,16.998482932996207,59.11890838206628,7629,8443,90.4,6541,7472,87.5,1313,2397,54.8,39.1,0.6,377,1189,339,87,17527,1615,482,77,76,605,188,107,48,7,310,933,685,70,56,53,55,14,113,78,7,10,6,10,2,705,431,287,297,121,350,703,49.8,353,439,122,315,1020,762,29,23677,2601,7503,10292,6153,1085,23670,797,338,42.4,382,47.9,13919,5.523528989,51.15931372549019,576,263,583,344,15637,1522,18,1.61,59,7,54.6,4.1,438,411,46,704,9,2,1624,518,463,52.8,147,90,66,16,13,9,8,21.1,0,0,1,4,1178,129,29.3,25.1,243,23.5,23.1,436,29,6.7,50,15.4
ENG-Premier League,2425,Chelsea,29,23.7,57.1,61,47,108,57,4,5,101,2,67.8,63.8,52.7,116.5,861,1595,590,203,34.4,0.1,0.28,16.7,17,0.11,-6.8,-6.8,18033,21320,84.6,17.255365163866244,61.654545454545456,8067,8802,91.6,8244,9120,90.4,1369,2547,53.7,41.8,-5.7,457,1488,346,73,19613,1642,516,79,95,587,234,121,37,8,304,1061,811,60,58,70,39,23,109,75,5,9,9,7,4,588,371,243,244,101,273,536,50.9,263,356,103,272,860,695,45,25217,2410,7564,11375,6497,1115,25212,783,326,41.6,336,42.9,14501,5.400593062547411,48.07665505226481,493,317,466,297,17888,1576,19,1.82,43,21,47.3,20.5,436,444,65,663,6,0,1577,402,390,50.8,155,111,75.5,20,9,9,11,28.9,1,16.7,0,5,1207,209,34.5,24.1,224,17.9,20.9,423,49,11.6,59,13.2
ENG-Premier League,2425,Crystal Palace,29,26.2,42.8,49,38,87,46,3,4,80,4,60.4,57.3,46.4,103.7,510,1158,512,175,34.2,0.09,0.26,16.8,19,0.11,-11.4,-11.3,11875,15754,75.4,17.958484210526315,69.28929188255613,5198,6077,85.5,5285,6317,83.7,1137,2545,44.7,36.6,-8.4,379,886,272,69,14066,1614,440,71,59,621,171,115,18,0,302,877,633,76,33,71,48,16,89,60,8,6,8,6,1,767,450,374,300,93,324,643,50.4,319,485,144,334,1101,1088,19,20389,2570,7689,8442,4455,796,20385,500,209,41.8,241,48.2,10275,5.049829683698297,49.615686274509805,354,126,491,339,11783,1140,18,1.39,51,0,49.1,11.3,417,403,74,605,2,3,1698,511,636,44.6,150,101,66.7,13,14,11,11,28.9,1,50,1,5,922,115,48.5,38.5,293,52.2,42.4,559,30,5.4,40,14.3
ENG-Premier League,2425,Everton,26,28,40.9,39,27,66,37,2,2,82,2,41.8,40.2,32.2,72.4,486,1041,404,139,34.4,0.09,0.27,16.8,11,0.1,-2.8,-3.2,11405,14953,76.3,18.853748355984216,81.66474543707973,5039,5809,86.7,4604,5451,84.5,1526,2901,52.6,27.2,-5.2,298,1003,261,92,13245,1627,424,30,83,678,154,101,24,11,295,713,530,65,44,31,31,12,68,46,4,6,4,5,3,732,433,366,269,97,338,656,51.5,318,392,138,345,1077,1088,25,19408,2462,6930,7927,4762,732,19406,636,283,44.5,305,48,9535,5.352805454,52.29218106995885,364,119,525,390,11309,1023,19,1.26,44,-2,46.2,-4.5,430,384,81,682,2,0,1524,614,564,52.1,163,117,73,11,15,12,12,31.6,2,100,1,6,1297,161,51,39.7,289,50.2,40.7,558,31,5.6,57,15.2
ENG-Premier League,2425,Fulham,26,28.1,52.3,53,44,97,50,3,4,80,2,49,45.9,37.5,83.4,786,1558,516,167,32.4,0.1,0.3,16.4,10,0.09,4,4.1,16199,19753,82,17.871967405395395,62.66688061617458,7195,8007,89.9,7222,8198,88.1,1504,2703,55.6,35,6.5,398,1346,343,108,18077,1633,437,43,119,636,203,88,87,1,337,940,718,73,38,70,25,16,99,80,3,5,4,4,3,679,411,327,259,93,289,565,51.2,276,382,113,302,981,914,33,23926,2641,8095,9787,6287,954,23922,637,288,45.2,254,39.9,14026,5.256167118,48.905852417302796,544,213,515,281,16043,1544,17,1.42,54,0,47.2,1.8,432,359,43,894,4,2,1610,533,532,50,159,106,67.9,15,9,14,5,13.2,1,25,0,6,1138,167,24.5,28.9,265,33.2,30.2,507,23,4.5,33,13.3
ENG-Premier League,2425,Burnley,38,24.9,56.6,66,45,111,62,4,4,84,3,57.8,54.6,41.3,96,794,1739,558,170,30.5,0.11,0.36,17.5,20,0.1,8.2,7.4,20212,24705,83.7,17.88620621,65.29614721,8620,9586,89.9,9360,10607,88.2,1824,3464,52.7,44.2,3.7,417,1420,347,91,22456,2184,645,43,160,926,242,91,67,2,351,983,727,80,60,59,38,19,113,79,8,7,11,7,1,698,420,297,309,92,335,607,55.2,272,444,134,336,1034,1059,17,29585,2927,9620,13316,6869,1020,29581,756,326,43.1,390,51.6,16734,4.986554321,53.32493703,524,237,675,412,20024,1727,14,2.17,16,53,39.1,18.7,530,531,65,773,2,0,1778,578,681,45.9,107,89,85,28,16,2,30,65.2,2,100,1,3,1467,198,28.1,24.7,309,55,44.3,539,32,5.9,50,12.8
